Rank,Player,Avg Pick,Pos,Tm,Season
226,Raheem Mostert,145.85,RB,MIA,2022
227,Irv Smith Jr.,146.20,TE,MIN,2022
228,Jarvis Landry,146.33,WR,NOS,2022
229,Taysom Hill,146.49,TE,NOS,2022
230,Jamaal Williams,146.49,RB,DET,2022
231,Alec Pierce,146.72,WR,IND,2022
232,Wan'Dale Robinson,146.84,WR,NYG,2022
233,Russell Gage,147.27,WR,TBB,2022
234,Xavier NYG SMcKinney,147.40,S,NYG,2022
235,Jordan BUF SPoyer,147.66,S,BUF,2022
236,Baker Mayfield,147.72,QB,LAR,2022
237,Jalen ARI SThompson,147.82,S,ARI,2022
238,Tremaine Edmunds,147.85,LB,BUF,2022
239,Isaiah McKenzie,148.55,WR,BUF,2022
240,"Saints, New Orleans NOS Def",148.92,Def,NOS,2022
241,Jared Goff,149.00,QB,DET,2022
242,Kenny Moore,149.04,CB,IND,2022
243,Tyler Bass,149.48,PK,BUF,2022
244,Isaiah Likely,149.75,TE,BAL,2022
245,Tyrion Davis-Price,149.84,RB,SFO,2022
246,Nico Collins,150.14,WR,HOU,2022
247,Daniel Jones,150.61,QB,NYG,2022
248,Marcus Mariota,151.64,QB,ATL,2022
249,Joey Bosa,151.67,LB,LAC,2022
250,Carson Wentz,151.90,QB,WAS,2022
251,Davis Mills,151.97,QB,HOU,2022
252,Matt Gay,152.63,PK,LAR,2022
253,Jaylen Warren,153.13,RB,PIT,2022
254,"Colts, Indianapolis IND Def",153.20,Def,IND,2022
255,Tyler Higbee,154.71,TE,LAR,2022
256,"Packers, Green Bay GBP Def",154.99,Def,GBP,2022
257,Darrel Williams,155.35,RB,ARI,2022
258,Deshaun Watson,155.40,QB,CLE,2022
259,"Patriots, New England NEP Def",155.74,Def,NEP,2022
260,Zach Wilson,155.80,QB,NYJ,2022
261,Josh Palmer,155.84,WR,LAC,2022
262,Harrison Butker,156.53,PK,KCC,2022
263,Hayden Hurst,156.85,TE,CIN,2022
264,"Steelers, Pittsburgh PIT Def",157.58,Def,PIT,2022
265,Kevin TEN SByard,157.71,S,TEN,2022
266,Mark Ingram,157.91,RB,NOS,2022
267,Kendrick Bourne,158.34,WR,NEP,2022
268,Jerick McKinnon,158.97,RB,KCC,2022
269,K.J. Osborn,160.51,WR,MIN,2022
270,Mitchell Trubisky,160.65,QB,PIT,2022
271,Robbie Anderson,160.69,WR,ARI,2022
272,Gerald Everett,160.69,TE,LAC,2022
273,Robert Tonyan,160.83,TE,GBP,2022
274,Geno Smith,161.14,QB,SEA,2022
275,Sammy Watkins,162.01,WR,BAL,2022
276,Ryan Succop,162.15,PK,TBB,2022
277,"Chargers, Los Angeles LAC Def",162.63,Def,LAC,2022
278,"Ravens, Baltimore BAL Def",163.13,Def,BAL,2022
279,Cade York,163.31,PK,CLE,2022
280,"Titans, Tennessee TEN Def",163.39,Def,TEN,2022
281,"Broncos, Denver DEN Def",165.67,Def,DEN,2022
282,Rex Burkhead,165.97,RB,HOU,2022
283,"Dolphins, Miami MIA Def",166.11,Def,MIA,2022
284,Chuba Hubbard,166.54,RB,CAR,2022
285,"Eagles, Philadelphia PHI Def",166.69,Def,PHI,2022
286,"Vikings, Minnesota MIN Def",166.83,Def,MIN,2022
287,Evan Engram,166.84,TE,JAC,2022
288,Kenny Golladay,167.58,WR,NYG,2022
289,Logan Thomas,168.79,TE,WAS,2022
290,Bryan Edwards,169.02,WR,FA,2022
291,"Chiefs, Kansas City KCC Def",169.33,Def,KCC,2022
292,D'Onta Foreman,169.86,RB,CAR,2022
