Player,Season,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Int,Fumbles,FumblesLost,PPR,Rank,Avg Pick,rookie_season,No.,Round,Pick,College,current_yr,FPPG
Randall Cobb,2021,GBP,WR,31,12,3,39.0,28.0,0.0,0.0,0.0,1.0,0.0,1.0,375.0,5.0,0.0,1.0,1.0,93.6,290,171.8,2011.0,7,2,32,Kentucky,11.0,7.8
Randall Cobb,2022,GBP,WR,32,13,3,50.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,1.0,0.0,1.0,0.0,81.7,339,185.71,2011.0,7,2,32,Kentucky,12.0,6.2846153846153845
Jeremy Kerley,2013,NYJ,WR,25,12,8,72.0,43.0,0.0,0.0,1.0,11.0,0.0,4.0,523.0,3.0,0.0,0.0,0.0,114.4,353,190.64,2011.0,19,5,22,Texas Christian,3.0,9.533333333333333
Jeremy Kerley,2014,NYJ,WR,26,16,7,75.0,38.0,0.0,0.0,1.0,86.0,0.0,4.0,409.0,1.0,0.0,1.0,0.0,93.5,397,242.1,2011.0,19,5,22,Texas Christian,4.0,5.84375
Donnie Avery,2013,KCC,WR,29,16,14,71.0,40.0,0.0,0.0,0.0,6.0,0.0,2.0,596.0,2.0,0.0,1.0,1.0,110.2,364,195.94,2008.0,1,2,2,Houston,6.0,6.8875
Julio Jones,2013,ATL,WR,24,5,5,59.0,41.0,0.0,0.0,0.0,7.0,0.0,1.0,580.0,2.0,0.0,2.0,1.0,109.7,16,21.59,2011.0,2,1,6,Alabama,3.0,21.94
Julio Jones,2014,ATL,WR,25,15,15,163.0,104.0,0.0,0.0,0.0,1.0,0.0,1.0,1593.0,6.0,0.0,2.0,1.0,297.4,10,16.31,2011.0,2,1,6,Alabama,4.0,19.826666666666664
Julio Jones,2015,ATL,WR,26,16,16,203.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,1871.0,8.0,0.0,3.0,1.0,369.1,7,12.98,2011.0,2,1,6,Alabama,5.0,23.06875
Julio Jones,2016,ATL,WR,27,14,14,129.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1409.0,6.0,0.0,0.0,0.0,259.9,2,6.25,2011.0,2,1,6,Alabama,6.0,18.564285714285713
Julio Jones,2017,ATL,WR,28,16,16,148.0,88.0,0.0,0.0,0.0,15.0,0.0,1.0,1444.0,3.0,0.0,0.0,0.0,251.9,3,7.33,2011.0,2,1,6,Alabama,7.0,15.74375
Julio Jones,2018,ATL,WR,29,16,16,170.0,113.0,0.0,0.0,0.0,12.0,0.0,2.0,1677.0,8.0,0.0,2.0,2.0,325.9,14,13.05,2011.0,2,1,6,Alabama,8.0,20.36875
Julio Jones,2019,ATL,WR,30,15,15,157.0,99.0,0.0,0.0,0.0,-3.0,0.0,2.0,1394.0,6.0,0.0,1.0,0.0,274.1,9,10.75,2011.0,2,1,6,Alabama,9.0,18.273333333333333
Julio Jones,2020,ATL,WR,31,9,9,68.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,771.0,3.0,0.0,0.0,0.0,146.10000000000002,14,14.92,2011.0,2,1,6,Alabama,10.0,16.233333333333334
Julio Jones,2021,TEN,WR,32,10,10,48.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,1.0,0.0,0.0,0.0,80.4,45,45.22,2011.0,2,1,6,Alabama,11.0,8.040000000000001
Julio Jones,2022,TBB,WR,33,10,5,43.0,24.0,0.0,0.0,0.0,45.0,0.0,5.0,299.0,2.0,0.0,0.0,0.0,70.4,213,141.06,2011.0,2,1,6,Alabama,12.0,7.040000000000001
Reggie Wayne,2013,IND,WR,35,7,7,58.0,38.0,0.0,0.0,0.0,5.0,0.0,1.0,503.0,2.0,0.0,0.0,0.0,100.80000000000001,46,46.85,2001.0,6,1,30,Miami (FL),13.0,14.400000000000002
Reggie Wayne,2014,IND,WR,36,15,15,116.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,779.0,2.0,0.0,1.0,1.0,151.9,87,84.41,2001.0,6,1,30,Miami (FL),14.0,10.126666666666667
Jacoby Jones,2013,BAL,WR,29,12,9,68.0,37.0,0.0,0.0,0.0,0.0,0.0,2.0,455.0,2.0,0.0,0.0,0.0,94.5,298,168.9,2007.0,10,3,9,Lane,7.0,7.875
Jarius Wright,2013,MIN,WR,24,16,3,43.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,3.0,0.0,0.0,0.0,87.4,393,207.84,2012.0,18,4,23,Arkansas,2.0,5.4625
Ace Sanders,2013,JAC,WR,22,15,4,87.0,51.0,21.0,1.0,1.0,4.0,0.0,2.0,484.0,1.0,0.0,0.0,0.0,110.64000000000001,261,155.78,2013.0,12,4,4,South Carolina,1.0,7.376000000000001
Justin Hunter,2013,TEN,WR,22,14,0,42.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,4.0,0.0,0.0,0.0,77.4,134,111.21,2013.0,4,2,2,Tennessee,1.0,5.528571428571429
Justin Hunter,2014,TEN,WR,23,12,8,67.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0,3.0,0.0,0.0,0.0,95.80000000000001,127,109.41,2013.0,4,2,2,Tennessee,2.0,7.983333333333334
Justin Hunter,2015,TEN,WR,24,9,5,31.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,1.0,0.0,0.0,0.0,54.400000000000006,384,209.09,2013.0,4,2,2,Tennessee,3.0,6.044444444444445
