rookie_season,No.,Round,Pick,Player,College,Pos
2014,22,5,6,Devin Street,Pittsburgh,WR
2014,23,5,36,Jared Abbrederis,Wisconsin,WR
2014,24,6,9,Robert Herron,Wyoming,WR
2014,25,6,13,T.J. Jones,Notre Dame,WR
2014,26,6,14,Matt Hazel,Coastal Carolina,WR
2014,27,6,20,Walt Powell,Murray State,WR
2014,28,6,33,Quincy Enunwa,Nebraska,WR
2014,29,7,3,Mike Campanaro,Wake Forest,WR
2014,30,7,21,Jeff Janis,Saginaw Valley State,WR
2014,31,7,24,James Wright,Louisiana State,WR
2014,32,7,25,Tevin Reese,Baylor,WR
2014,33,7,29,Jeremy Gallon,Michigan,WR
2013,1,1,8,Tavon Austin,West Virginia,WR
2013,2,1,27,DeAndre Hopkins,Clemson,WR
2013,3,1,29,Cordarrelle Patterson,Tennessee,WR
2013,4,2,2,Justin Hunter,Tennessee,WR
2013,5,2,9,Robert Woods,USC,WR
2013,6,2,27,Aaron Dobson,Marshall,WR
2013,7,3,12,Terrance Williams,Baylor,WR
2013,8,3,14,Keenan Allen,California,WR
2013,9,3,16,Marquise Goodwin,Texas,WR
2013,10,3,17,Markus Wheaton,Oregon State,WR
2013,11,3,30,Stedman Bailey,West Virginia,WR
2013,12,4,4,Ace Sanders,South Carolina,WR
2013,13,4,5,Josh Boyce,Texas Christian,WR
2013,14,4,26,Chris Harper,Kansas State,WR
2013,15,4,31,Quinton Patton,Louisiana Tech,WR
2013,16,5,2,Denard Robinson,Michigan,WR
2013,17,5,11,Kenny Stills,Oklahoma,WR
2013,18,5,28,Tavarres King,Georgia,WR
2013,19,6,3,Corey Fuller,Virginia Tech,WR
2013,20,6,6,Ryan Swope,Texas A&M,WR
2013,21,6,18,Justin Brown,Oklahoma,WR
2013,22,6,27,Alan Bonner,Jacksonville State,WR
2013,23,6,29,Cobi Hamilton,Arkansas,WR
2013,24,7,3,Brice Butler,San Diego State,WR
2013,25,7,10,Charles Johnson,Grand Valley State,WR
2013,26,7,18,Kevin Dorsey,Maryland,WR
2013,27,7,30,Marquess Wilson,Washington State,WR
2013,28,7,32,Aaron Mellette,Elon,WR
2012s,1,2,0,Josh Gordon,Baylor,WR
2012,1,1,5,Justin Blackmon,Oklahoma State,WR
2012,2,1,13,Michael Floyd,Notre Dame,WR
2012,3,1,20,Kendall Wright,Baylor,WR
2012,4,1,30,A.J. Jenkins,Illinois,WR
2012,5,2,1,Brian Quick,Appalachian State,WR
2012,6,2,11,Stephen Hill,Georgia Tech,WR
2012,7,2,13,Alshon Jeffery,South Carolina,WR
2012,8,2,22,Ryan Broyles,Oklahoma,WR
2012,9,2,31,Rueben Randle,Louisiana State,WR
2012,10,3,5,Devier Posey,Ohio State,WR
2012,11,3,6,T.J. Graham,North Carolina State,WR
2012,12,3,20,Mohamed Sanu,Rutgers,WR
2012,13,3,29,T.Y. Hilton,Florida International,WR
2012,14,4,1,Chris Givens,Wake Forest,WR
2012,15,4,5,Travis Benjamin,Miami (FL),WR
2012,16,4,9,Joe Adams,Arkansas,WR
2012,17,4,12,Devon Wylie,Fresno State,WR
2012,18,4,23,Jarius Wright,Arkansas,WR
2012,19,4,26,Keshawn Martin,Michigan State,WR
2012,20,4,27,Nick Toon,Wisconsin,WR
2012,21,4,39,Greg Childs,Arkansas,WR
2012,22,5,17,Danny Coale,Virginia Tech,WR
2012,23,5,31,Marvin Jones,California,WR
2012,24,5,33,Juron Criner,Arizona,WR
2012,25,6,13,B.J. Cunningham,Michigan State,WR
2012,26,6,24,Marvin McNutt,Iowa,WR
2012,27,6,28,Tommy Streeter,Miami (FL),WR
2012,28,6,36,LaVon Brazill,Ohio,WR
2012,29,7,20,Rishard Matthews,Nevada,WR
2012,30,7,24,Toney Clemons,Colorado,WR
2012,31,7,28,Jeremy Ebert,Northwestern,WR
2012,32,7,31,Junior Hemingway,Michigan,WR
2012,33,7,37,Jordan White,Western Michigan,WR
2011,1,1,4,A.J. Green,Georgia,WR
2011,2,1,6,Julio Jones,Alabama,WR
2011,3,1,26,Jonathan Baldwin,Pittsburgh,WR
2011,4,2,12,Titus Young,Boise State,WR
2011,5,2,26,Torrey Smith,Maryland,WR
2011,6,2,27,Greg Little,North Carolina,WR
2011,7,2,32,Randall Cobb,Kentucky,WR
2011,8,3,14,Austin Pettis,Boise State,WR
2011,9,3,15,Leonard Hankerson,Miami (FL),WR
2011,10,3,18,Vincent Brown,San Diego State,WR
2011,11,3,19,Jerrel Jernigan,Troy,WR
2011,12,4,10,Kris Durham,Georgia,WR
2011,13,4,14,Edmond Gates,Abilene Christian,WR
2011,14,4,15,Greg Salas,Hawaii,WR
2011,15,4,17,Cecil Shorts,Mount Union,WR
2011,16,4,26,Tandon Doss,Indiana,WR
2011,17,5,1,Kealoha Pilares,Hawaii,WR
2011,18,5,17,Denarius Moore,Tennessee,WR
2011,19,5,22,Jeremy Kerley,Texas Christian,WR
2011,20,5,24,Niles Paul,Nebraska,WR
2011,21,6,2,Ryan Whelan,Stanford,WR
2011,22,6,11,Dwayne Harris,East Carolina,WR
2011,23,6,13,Aldrick Robinson,Southern Methodist,WR
2011,24,6,17,Ronald Johnson,USC,WR
